rank,code,name,industry,price,pct_change,amount,total_score,raw_score,entry_bonus,flow_score,sector_score,tech_score,trend_score,volume_score,dmi_score,macd_score,expma_score,money_flow_score,leading_score,context_score,event_score,event_count,event_note,event_titles,margin_score,margin_balance_change_pct,margin_net_buy,margin_note,lhb_score,lhb_count,lhb_net_buy,lhb_note,context_note,selection_reason,watch_reason,buy_action,buy_trigger,buy_avoid_rules,max_open_gap_pct,max_buy_price,pullback_buy_price,invalid_below_price,trend_quality_score,trend_persistence_score,ma20_slope_score,ma20_distance_score,adx,plus_di,minus_di,pdi_mdi_diff,vol_ratio,close_ma21_ratio,close_ma20_ratio,above_ma20_days_20,ma20_slope_10_pct,ma20_slope_20_pct,trend_quality_pass,current_above_ma20,ma20_not_overheated,ma3_ma5_ratio,expma_ratio,macd_diff,macd_dea,macd_hist,main_net_amount,main_net_ratio,sector_rank_pct,stock_rank_in_sector,amount_ok,fund_ok,sector_hot,leading_stock,consecutive_up,consecutive_down,entry_label,planned_holding_days,stop_loss_price,take_profit_1_price,take_profit_2_price,trailing_stop_price,risk_reward_ratio,exit_strategy,exit_signal,exit_note,day1_stop_loss_price,day1_take_profit_price,day1_exit_plan,day2_stop_loss_price,day2_take_profit_price,day2_exit_plan,day3_stop_loss_price,day3_take_profit_price,day3_exit_plan
1,600237,铜峰电子,,13.95,7.22,1587874060.0,91.56,91.56,0,9.55,15.0,37.16,13.4,6.35,12.4,15.0,10.0,9.55,7.86,2.0,-0.8,1,"公告偏风险(0个负面关键词, 1个异动/风险词)",铜峰电子:铜峰电子股票交易异常波动公告,2.8,16.15,32013064.0,融资余额上升16.2%,0.0,0,0.0,近期未上龙虎榜,"公告偏风险(0个负面关键词, 1个异动/风险词)；融资余额上升16.2%；近期未上龙虎榜",趋势质量较好；20日多数站上MA20；MA20斜率上行；DMI趋势偏强；量能放大,当日涨幅较高；偏离MA20较大,等回踩确认,T+1不涨停、不停牌；开盘高开不超过1.5%且价格≤14.16；盘中回踩12.99附近不破、重新放量转强再考虑。,一字涨停/开盘涨停不买；高开超过1.5%不追；跌破13.74或开盘后放量走弱不买；成交额明显不足不买。,1.5,14.16,12.99,13.74,13.4,5.4,5.0,0.0,39.8,33.89,8.25,25.65,1.59,0.1895,1.182304,18,11.876,22.7847,True,True,True,0.030182,0.086759,0.646946,0.526365,0.241164,296476221.0,0.186713,0.2143,0.2143,True,True,False,False,1,0,🟡 首日上涨，可关注,1,12.97,15.51,16.92,12.97,1.6,1日快进快出，冲高先兑现,1日短线计划；T+1看14.83/止损13.46；T+2看15.14/止损12.97；T+3看15.51/止损12.97,参考信号日收盘价13.95，若T+1买入价明显高于该价，止损/止盈需按实际成交价等比例上移；若放量跌破MA20，应优先退出。,13.46,14.83,T+1：冲到14.83先减仓，跌破13.46止损；若高开低走不恋战,12.97,15.14,T+2：未突破15.14且量能转弱则减仓，跌破12.97退出,12.97,15.51,T+3：到15.51分批止盈，跌破12.97或MA5失守退出
2,603379,三美股份,,75.89,10.0,2350911461.0,91.47,95.47,-4,8.79,20.0,23.46,14.74,9.45,15.0,8.0,10.0,8.79,9.29,0.2,0.0,7,近期公告中性,三美股份:浙江三美化工股份有限公司期货交易业务管理制度(2026年6月)；三美股份:浙江三美化工股份有限公司关于开展期货交易业务的公告；三美股份:浙江三美化工股份有限公司第七届董事会第九次会议决议公告,0.2,1.31,-22941104.0,融资余额上升1.3%,0.0,0,0.0,近期未上龙虎榜,近期公告中性；融资余额上升1.3%；近期未上龙虎榜,趋势质量较好；20日多数站上MA20；MA20斜率上行；DMI趋势偏强；量能放大,短线已有涨幅，避免高开追入；当日涨幅较高；偏离MA20较大,等回踩确认,T+1不涨停、不停牌；开盘高开不超过1.5%且价格≤77.03；盘中回踩69.52附近不破、重新放量转强再考虑。,一字涨停/开盘涨停不买；高开超过1.5%不追；跌破74.75或开盘后放量走弱不买；成交额明显不足不买。,1.5,77.03,69.52,74.75,14.74,5.1,5.0,1.64,65.4,36.11,2.62,33.49,2.36,0.176989,1.174204,17,8.0578,6.7796,True,True,True,0.012102,0.054998,2.411171,1.864508,1.093326,341112884.0,0.145098,0.0714,0.0714,True,True,True,True,2,0,🟠 远离均线，不宜追高,1,70.58,84.39,90.03,70.58,1.6,1日快进快出，冲高先兑现,1日短线计划；T+1看80.67/止损73.23；T+2看82.26/止损70.58；T+3看84.39/止损70.58,参考信号日收盘价75.89，若T+1买入价明显高于该价，止损/止盈需按实际成交价等比例上移；若放量跌破MA20，应优先退出。,73.23,80.67,T+1：冲到80.67先减仓，跌破73.23止损；若高开低走不恋战,70.58,82.26,T+2：未突破82.26且量能转弱则减仓，跌破70.58退出,70.58,84.39,T+3：到84.39分批止盈，跌破70.58或MA5失守退出
3,600378,昊华科技,,75.38,10.0,7446881534.0,90.31,94.31,-4,6.21,20.0,35.03,14.0,5.99,14.28,13.95,10.0,6.21,8.69,1.2,-1.6,4,"公告偏风险(0个负面关键词, 2个异动/风险词)",昊华科技:昊华科技关于控股股东及其一致行动人之间内部协议转让公司股份暨权益变动的提示性公告；昊华科技:昊华科技股票交易异常波动公告；昊华科技:昊华科技股票交易异常波动公告,2.8,6.34,80929253.0,融资余额上升6.3%,0.0,0,0.0,近期未上龙虎榜,"公告偏风险(0个负面关键词, 2个异动/风险词)；融资余额上升6.3%；近期未上龙虎榜",趋势质量较好；20日多数站上MA20；MA20斜率上行；DMI趋势偏强；MACD动能确认,短线已有涨幅，避免高开追入；当日涨幅较高；偏离MA20较大,等回踩确认,T+1不涨停、不停牌；开盘高开不超过1.5%且价格≤76.51；盘中回踩69.46附近不破、重新放量转强再考虑。,一字涨停/开盘涨停不买；高开超过1.5%不追；跌破74.25或开盘后放量走弱不买；成交额明显不足不买。,1.5,76.51,69.46,74.25,14.0,6.0,5.0,0.0,43.6,37.3,23.19,14.11,1.5,0.291891,1.272838,20,32.9592,61.6608,False,True,False,0.016154,0.14893,4.761724,4.722021,0.079406,27962384.0,0.003755,0.131,0.131,True,True,True,True,2,0,🟠 远离均线，不宜追高,1,70.1,84.5,93.62,70.1,1.73,1日快进快出，冲高先兑现,1日短线计划；T+1看80.24/止损72.74；T+2看82.68/止损70.10；T+3看84.50/止损70.10,参考信号日收盘价75.38，若T+1买入价明显高于该价，止损/止盈需按实际成交价等比例上移；若放量跌破MA20，应优先退出。,72.74,80.24,T+1：冲到80.24先减仓，跌破72.74止损；若高开低走不恋战,70.1,82.68,T+2：未突破82.68且量能转弱则减仓，跌破70.10退出,70.1,84.5,T+3：到84.50分批止盈，跌破70.10或MA5失守退出
4,600732,爱旭股份,,13.85,5.72,947282572.0,86.85,86.85,0,11.13,15.0,29.76,11.63,7.34,15.0,8.0,7.17,11.13,6.79,4.8,3.0,12,公告偏正面(5个积极关键词),爱旭股份:关于为子公司提供担保的进展公告；爱旭股份:关于控股股东之一致行动人减持股份计划公告；爱旭股份:北京市中伦(深圳)律师事务所关于上海爱旭新能源股份有限公司2023年限制性股票与股票期权激励计划回购注销部分限制性股票实施情况的法律意见书,1.8,3.7,29115463.0,融资余额上升3.7%,0.0,0,0.0,近期未上龙虎榜,公告偏正面(5个积极关键词)；融资余额上升3.7%；近期未上龙虎榜,趋势质量较好；DMI趋势偏强；量能放大；MACD动能确认；资金净流入,暂无明显额外风险，仍需按T+1开盘条件执行,轻仓观察,T+1不涨停、不停牌；开盘高开不超过2.0%且价格≤14.13；盘中回踩13.18附近不破、重新放量转强再考虑。,一字涨停/开盘涨停不买；高开超过2.0%不追；跌破13.64或开盘后放量走弱不买；成交额明显不足不买。,2.0,14.13,13.18,13.64,11.63,3.9,1.68,3.05,45.1,38.21,13.94,24.27,1.84,0.118439,1.117972,13,1.3416,-8.5854,False,True,True,0.009764,0.023897,0.287718,0.216058,0.14332,259015337.0,0.27343,0.3214,0.3214,True,True,False,False,1,0,🟡 首日上涨，可关注,3,12.88,15.4,16.37,12.91,1.6,3日趋势观察，破短均退出,3日短线计划；T+1看14.72/止损13.37；T+2看15.01/止损12.98；T+3看15.40/止损12.91,参考信号日收盘价13.85，若T+1买入价明显高于该价，止损/止盈需按实际成交价等比例上移；若放量跌破MA20，应优先退出。,13.37,14.72,T+1：冲到14.72先减仓，跌破13.37止损；若高开低走不恋战,12.98,15.01,T+2：未突破15.01且量能转弱则减仓，跌破12.98退出,12.91,15.4,T+3：到15.40分批止盈，跌破12.91或MA5失守退出
5,000970,中科三环,,15.19,9.99,1451344376.0,86.21,84.21,2,9.51,20.0,26.93,15.0,5.72,11.07,8.0,10.0,9.51,8.51,-3.6,-0.8,11,"公告偏风险(0个负面关键词, 1个异动/风险词)",中科三环:中科三环关于为控股子公司提供担保的进展公告；中科三环:中科三环关于控股子公司获得政府补助的公告；中科三环:中科三环企业负责人薪酬管理办法(2026年6月修订),-2.8,-7.57,-12126678.0,融资余额下降-7.6%,0.0,0,0.0,近期未上龙虎榜,"公告偏风险(0个负面关键词, 1个异动/风险词)；融资余额下降-7.6%；近期未上龙虎榜",趋势质量较好；20日多数站上MA20；MA20斜率上行；DMI趋势偏强；MACD动能确认,当日涨幅较高；事件/两融/龙虎榜偏负,等回踩确认,T+1不涨停、不停牌；开盘高开不超过1.5%且价格≤15.42；盘中回踩14.55附近不破、重新放量转强再考虑。,一字涨停/开盘涨停不买；高开超过1.5%不追；跌破14.96或开盘后放量走弱不买；成交额明显不足不买。,1.5,15.42,14.55,14.96,15.0,4.8,5.0,3.12,37.1,28.48,22.59,5.9,1.43,0.125066,1.115067,16,11.7927,13.3037,True,True,True,0.002108,0.053622,0.365227,0.41616,-0.101866,268116919.97,0.184737,0.1488,0.1488,True,True,True,True,1,0,🟡 首日上涨，可关注,3,14.13,16.89,18.26,14.26,1.6,3日趋势观察，破短均退出,3日短线计划；T+1看16.15/止损14.66；T+2看16.47/止损14.33；T+3看16.89/止损14.26,参考信号日收盘价15.19，若T+1买入价明显高于该价，止损/止盈需按实际成交价等比例上移；若放量跌破MA20，应优先退出。,14.66,16.15,T+1：冲到16.15先减仓，跌破14.66止损；若高开低走不恋战,14.33,16.47,T+2：未突破16.47且量能转弱则减仓，跌破14.33退出,14.26,16.89,T+3：到16.89分批止盈，跌破14.26或MA5失守退出
6,000725,京东方Ａ,,8.68,9.18,44556777597.0,85.42,89.42,-4,6.64,15.0,22.74,14.0,7.27,15.0,8.0,10.0,6.64,8.21,5.3,2.5,23,公告偏正面(3个积极关键词),京东方Ａ:029-2026年6月30日投资者关系活动记录表；京东方Ａ:京东方科技集团股份有限公司公司债券受托管理事务报告(2025年度)；京东方Ａ:京东方科技集团股份有限公司2026年跟踪评级报告,2.8,7.25,568849975.0,融资余额上升7.2%,0.0,0,0.0,近期未上龙虎榜,公告偏正面(3个积极关键词)；融资余额上升7.2%；近期未上龙虎榜,趋势质量较好；20日多数站上MA20；MA20斜率上行；DMI趋势偏强；量能放大,短线已有涨幅，避免高开追入；当日涨幅较高；偏离MA20较大,等回踩确认,T+1不涨停、不停牌；开盘高开不超过1.5%且价格≤8.81；盘中回踩7.74附近不破、重新放量转强再考虑。,一字涨停/开盘涨停不买；高开超过1.5%不追；跌破8.55或开盘后放量走弱不买；成交额明显不足不买。,1.5,8.81,7.74,8.55,14.0,6.0,5.0,0.0,63.2,44.2,3.57,40.63,1.82,0.331288,1.31955,20,18.3839,41.2649,False,True,False,0.038329,0.141687,0.599899,0.470668,0.258462,1231140864.0,0.027631,0.1786,0.1786,True,True,True,True,1,0,🟠 远离均线，不宜追高,1,8.07,9.65,10.34,8.07,1.6,1日快进快出，冲高先兑现,1日短线计划；T+1看9.23/止损8.38；T+2看9.41/止损8.07；T+3看9.65/止损8.07,参考信号日收盘价8.68，若T+1买入价明显高于该价，止损/止盈需按实际成交价等比例上移；若放量跌破MA20，应优先退出。,8.38,9.23,T+1：冲到9.23先减仓，跌破8.38止损；若高开低走不恋战,8.07,9.41,T+2：未突破9.41且量能转弱则减仓，跌破8.07退出,8.07,9.65,T+3：到9.65分批止盈，跌破8.07或MA5失守退出
7,603078,江化微,,49.42,9.99,2112264717.0,85.37,85.37,0,9.93,20.0,23.51,15.0,4.81,8.12,8.0,10.0,9.93,8.51,1.0,-0.8,10,"公告偏风险(0个负面关键词, 1个异动/风险词)",江化微:江阴江化微电子材料股份有限公司关于为子公司提供担保的进展公告；江化微:江阴江化微电子材料股份有限公司关于注销全资子公司山东江化微的公告；江化微:江阴江化微电子材料股份有限公司关于对全资子公司镇江江化微增资的公告,1.8,2.7,913173.0,融资余额上升2.7%,0.0,0,0.0,近期未上龙虎榜,"公告偏风险(0个负面关键词, 1个异动/风险词)；融资余额上升2.7%；近期未上龙虎榜",趋势质量较好；20日多数站上MA20；MA20斜率上行；MACD动能确认；资金净流入,当日涨幅较高,等回踩确认,T+1不涨停、不停牌；开盘高开不超过1.5%且价格≤50.16；盘中回踩46.38附近不破、重新放量转强再考虑。,一字涨停/开盘涨停不买；高开超过1.5%不追；跌破48.68或开盘后放量走弱不买；成交额明显不足不买。,1.5,50.16,46.38,48.68,15.0,6.0,5.0,2.88,31.2,24.01,10.82,13.19,1.2,0.137175,1.124933,20,15.9525,41.4089,True,True,True,0.005203,0.074772,1.399985,1.423288,-0.046606,438013432.0,0.207367,0.1488,0.1488,True,True,True,True,1,0,🟡 首日上涨，可关注,2,45.96,55.48,61.53,45.96,1.75,2日短线跟踪，按纪律退出,2日短线计划；T+1看52.65/止损47.69；T+2看54.27/止损45.96；T+3看55.48/止损45.96,参考信号日收盘价49.42，若T+1买入价明显高于该价，止损/止盈需按实际成交价等比例上移；若放量跌破MA20，应优先退出。,47.69,52.65,T+1：冲到52.65先减仓，跌破47.69止损；若高开低走不恋战,45.96,54.27,T+2：未突破54.27且量能转弱则减仓，跌破45.96退出,45.96,55.48,T+3：到55.48分批止盈，跌破45.96或MA5失守退出
8,605588,冠石科技,,67.17,4.92,303232570.0,83.47,81.47,2,8.87,15.0,23.91,10.56,8.24,14.49,8.0,10.0,8.87,6.31,0.0,0.0,1,近期公告中性,冠石科技:关于2025年度向特定对象发行A股股票申请获得上海证券交易所审核意见的公告,0.0,0.0,0.0,无两融数据,0.0,0,0.0,近期未上龙虎榜,近期公告中性；无两融数据；近期未上龙虎榜,趋势质量较好；DMI趋势偏强；量能放大；MACD动能确认；资金净流入,暂无明显额外风险，仍需按T+1开盘条件执行,可积极观察,T+1不涨停、不停牌；开盘高开不超过3.0%且价格≤69.19；盘中回踩64.34附近不破、重新放量转强再考虑。,一字涨停/开盘涨停不买；高开超过3.0%不追；跌破66.16或开盘后放量走弱不买；成交额明显不足不买。,3.0,69.19,64.34,66.16,10.56,3.0,2.31,2.25,44.0,28.04,6.47,21.57,2.06,0.151881,1.149846,10,1.8481,-2.4139,False,True,True,0.007968,0.050384,2.092715,1.891737,0.401955,45288870.0,0.149354,0.369,0.369,True,True,False,False,1,0,🟡 首日上涨，可关注,3,62.47,74.69,79.39,63.06,1.6,3日趋势观察，破短均退出,3日短线计划；T+1看71.40/止损64.82；T+2看72.81/止损63.38；T+3看74.69/止损63.06,参考信号日收盘价67.17，若T+1买入价明显高于该价，止损/止盈需按实际成交价等比例上移；若放量跌破MA20，应优先退出。,64.82,71.4,T+1：冲到71.40先减仓，跌破64.82止损；若高开低走不恋战,63.38,72.81,T+2：未突破72.81且量能转弱则减仓，跌破63.38退出,63.06,74.69,T+3：到74.69分批止盈，跌破63.06或MA5失守退出
9,600888,新疆众和,,15.89,6.22,1895557661.0,82.87,80.87,2,6.17,15.0,21.08,14.0,4.92,15.0,8.0,10.0,6.17,7.38,0.4,-0.8,3,"公告偏风险(0个负面关键词, 1个异动/风险词)",新疆众和:新疆众和股份有限公司股票交易异常波动的公告；新疆众和:新疆众和股份有限公司关于参加新疆辖区上市公司2026年投资者网上集体接待日活动的公告；新疆众和:新疆众和股份有限公司2025年年度权益分派实施公告,1.2,7.14,-25913259.0,融资余额上升7.1%,0.0,0,0.0,近期未上龙虎榜,"公告偏风险(0个负面关键词, 1个异动/风险词)；融资余额上升7.1%；近期未上龙虎榜",趋势质量较好；20日多数站上MA20；MA20斜率上行；DMI趋势偏强；MACD动能确认,偏离MA20较大,等回踩确认,T+1不涨停、不停牌；开盘高开不超过1.5%且价格≤16.13；盘中回踩15.64附近不破、重新放量转强再考虑。,一字涨停/开盘涨停不买；高开超过1.5%不追；跌破15.65或开盘后放量走弱不买；成交额明显不足不买。,1.5,16.13,15.64,15.65,14.0,6.0,5.0,0.0,60.2,36.71,17.7,19.01,1.23,0.254379,1.250197,20,16.7394,31.3017,False,True,False,0.010953,0.140903,1.128215,1.085052,0.086326,3350942.0,0.001768,0.2619,0.2619,True,True,False,False,1,0,🟢 趋势启动，适合入场,1,14.78,17.69,19.49,15.33,1.62,1日快进快出，冲高先兑现,1日短线计划；T+1看16.89/止损15.33；T+2看17.33/止损15.41；T+3看17.69/止损15.33,参考信号日收盘价15.89，若T+1买入价明显高于该价，止损/止盈需按实际成交价等比例上移；若放量跌破MA20，应优先退出。,15.33,16.89,T+1：冲到16.89先减仓，跌破15.33止损；若高开低走不恋战,15.41,17.33,T+2：未突破17.33且量能转弱则减仓，跌破15.41退出,15.33,17.69,T+3：到17.69分批止盈，跌破15.33或MA5失守退出
10,603067,振华股份,,46.29,10.01,1903979817.0,82.69,80.69,2,9.18,20.0,21.04,5.47,4.86,12.86,8.0,10.0,9.18,9.52,0.8,0.0,5,近期公告中性,振华股份:振华股份关于向不特定对象发行可转换公司债券申请获得中国证券监督管理委员会同意注册批复的公告；关于同意湖北振华化学股份有限公司向不特定对象发行可转换公司债券注册的批复；振华股份:振华股份关于完成工商变更登记并换发营业执照的公告,0.8,0.49,5637391.0,融资余额上升0.5%,0.0,0,0.0,近期未上龙虎榜,近期公告中性；融资余额上升0.5%；近期未上龙虎榜,DMI趋势偏强；MACD动能确认；资金净流入；板块相对靠前；事件/两融/龙虎榜加分,当日涨幅较高；偏离MA20较大,等回踩确认,T+1不涨停、不停牌；开盘高开不超过1.5%且价格≤46.98；盘中回踩44.43附近不破、重新放量转强再考虑。,一字涨停/开盘涨停不买；高开超过1.5%不追；跌破45.60或开盘后放量走弱不买；成交额明显不足不买。,1.5,46.98,44.43,45.6,5.47,2.1,0.37,0.0,40.7,32.08,16.31,15.77,1.22,0.234118,1.230201,7,0.2932,-5.745,False,True,False,0.002461,0.080979,2.483965,2.017286,0.933358,317003673.0,0.166495,0.0476,0.0476,True,True,True,True,1,0,🟡 首日上涨，可关注,1,43.05,51.47,55.35,43.55,1.6,1日快进快出，冲高先兑现,1日短线计划；T+1看49.21/止损44.67；T+2看50.18/止损43.77；T+3看51.47/止损43.55,参考信号日收盘价46.29，若T+1买入价明显高于该价，止损/止盈需按实际成交价等比例上移；若放量跌破MA20，应优先退出。,44.67,49.21,T+1：冲到49.21先减仓，跌破44.67止损；若高开低走不恋战,43.77,50.18,T+2：未突破50.18且量能转弱则减仓，跌破43.77退出,43.55,51.47,T+3：到51.47分批止盈，跌破43.55或MA5失守退出
